logicalName,suggestedDomain,suggestedCategory,matchedBy
ccp_businessprocessconfiguration,PROCESMANAGER,Custom,kw:process
ccp_businessprocessentityparameter,PROCESMANAGER,Custom,kw:process
ccp_businessprocessinstance,PROCESMANAGER,Custom,kw:process
ccp_businessprocesslane,PROCESMANAGER,Custom,kw:process
ccp_businessprocesslevelbreadcrumb,PROCESMANAGER,Custom,kw:process
ccp_businessprocessparameter,PROCESMANAGER,Custom,kw:process
ccp_businessprocessstep,PROCESMANAGER,Custom,kw:process
ccp_businessprocesssteptrigger,PROCESMANAGER,Custom,kw:process
ccp_businessprocesstype,PROCESMANAGER,Custom,kw:process
ccp_businessprocesstypeondemandprocess,PROCESMANAGER,Custom,kw:process
ccp_businessprocesstypeuserauthentication,PROCESMANAGER,Custom,kw:process
ccp_businessprocessusergroup,PROCESMANAGER,Custom,kw:process
ccp_casebusinessprocessflow,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
ccp_casebusinessprocessflowbeleidssignaal,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
ccp_casebusinessprocessflowmelding,MELDINGEN,Custom,kw:melding
ccp_caselog,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
ccp_categoryclimate,GENERAL,Custom,fallback
ccp_causeofcomplaint,KLACHTEN,Custom,kw:complaint
ccp_ccp_acmidmuserright_adx_webrole,WEBCONTENT,Custom,kw:web
ccp_ccp_businessprocessstep_ccp_attribute,PROCESMANAGER,Custom,kw:process
ccp_ccp_member_ccp_openinghours,GENERAL,Custom,fallback
ccp_ccp_training_contact,CCSP CONTACTPERSONEN,Custom,kw:contact
ccp_ccp_typeofcontact_contact,CCSP CONTACTPERSONEN,Custom,kw:contact
ccp_ccp_votinground_contact,CCSP CONTACTPERSONEN,Custom,kw:contact
ccp_ccsp_accountclassification_account,CCSP ORGANISATIES,Custom,kw:account
ccp_certificate,GENERAL,Custom,fallback
ccp_classificatie,GENERAL,Custom,fallback
ccp_classificatie_account,CCSP ORGANISATIES,Custom,kw:account
ccp_classification,GENERAL,Custom,fallback
ccp_client,GENERAL,Custom,fallback
ccp_climatecase,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
ccp_climatecase_ccp_concernedparty,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
ccp_climatecase_ccp_projectclimate,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
ccp_climatecase_ccsp_address,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
ccp_climatecase_contact,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:case
ccp_comment,GENERAL,Custom,fallback
ccp_composition,GENERAL,Custom,fallback
ccp_concernedparty,GENERAL,Custom,fallback
ccp_concernedpartytype,GENERAL,Custom,fallback
ccp_consultation,GENERAL,Custom,fallback
ccp_contactdetail,CCSP CONTACTPERSONEN,Custom,kw:contact
ccp_contract,CONTRACTEN,Custom,kw:contract
ccp_contracttypes,CONTRACTEN,Custom,kw:contract
ccp_converttoconfiguration,GENERAL,Custom,fallback
ccp_copyattribute,GENERAL,Custom,fallback
ccp_copyentity,GENERAL,Custom,fallback
ccp_copyrelationship,GENERAL,Custom,fallback
ccp_credential,GENERAL,Custom,fallback
ccp_declaration,GENERAL,Custom,fallback
ccp_declarationcontacts,CCSP CONTACTPERSONEN,Custom,kw:contact
ccp_deploymentfavorite,GENERAL,Custom,fallback
ccp_designclimate,GENERAL,Custom,fallback
ccp_designclimatebpf,GENERAL,Custom,fallback
ccp_destinationbusiness,GENERAL,Custom,fallback
ccp_destinationofcomplaint,KLACHTEN,Custom,kw:complaint
ccp_digitaleafspraak,GENERAL,Custom,fallback
ccp_district,GENERAL,Custom,fallback
ccp_document,GENERAL,Custom,fallback
ccp_documentconfiguration,GENERAL,Custom,fallback
